id	file	section	line	kind	disposition	target	duplicate_of	near_duplicate_of	sentence	phase3
R0001	.agents/workflows/pre-development.md	Entry	9	inheritance	contract:inheritance	contract:inheritance			Use this workflow when the operator invokes `singlepagestartup` or asks in plain language to start, continue, inspect, or change the active project before engineering begins.	moved:contract:inheritance
R0002	.agents/workflows/pre-development.md	Entry	13	inheritance	contract:inheritance	contract:inheritance			Resolve the active layer through the shared repository-layer resolver using `apps/studio/workspace/utils/config.yaml` and its safety-checked gitignored `config.local.yaml`.	moved:contract:inheritance
R0003	.agents/workflows/pre-development.md	Entry	13	gate-candidate	split	workflow + contract:inheritance			The GitHub preflight and workspace loader must use that same resolution result; an agent must not choose the layer independently.	split:workflow + contract:inheritance
R0004	.agents/workflows/pre-development.md	Entry	13	prohibition	split	workflow + contract:inheritance			All project business context lives under `apps/studio/workspace/**`; do not create or use a repository-root `workspace/` directory.	split:workflow + contract:inheritance
R0005	.agents/workflows/pre-development.md	Entry	13	method	split	workflow + contract:inheritance			Follow `.agents/contracts/context-loading.md` before reading project content.	split:workflow + contract:inheritance
R0006	.agents/workflows/pre-development.md	Entry	24	inheritance	contract:inheritance	contract:inheritance			When the active layer is `startup`, read the resolved `default` artifact assembled from singlepage and startup, then write project-specific changes to the startup source.	moved:contract:inheritance
R0007	.agents/workflows/pre-development.md	Entry	24	inheritance	contract:inheritance	contract:inheritance			Do not copy unchanged SinglePageStartup sections into startup files.	moved:contract:inheritance
R0008	.agents/workflows/pre-development.md	GitHub change preflight	31	workflow	workflow	workflow			Before reading the durable stage cursor or launching any professional owner, follow `.agents/contracts/github-reconciliation.md` and run:	kept:workflow
R0009	.agents/workflows/pre-development.md	GitHub change preflight	38	workflow	workflow	workflow			This preflight is mandatory on every invocation.	kept:workflow
R0010	.agents/workflows/pre-development.md	GitHub change preflight	38	inheritance	split	workflow + duplicate			It resolves and reports the repository identity, active layer, and resolution source before selecting the layer-local config.	split:workflow + duplicate
R0011	.agents/workflows/pre-development.md	GitHub change preflight	38	inheritance	split	workflow + duplicate			An optional `--layer` argument is an assertion for tests or diagnostics; a mismatch is a hard failure and never overrides repository routing.	split:workflow + duplicate
R0012	.agents/workflows/pre-development.md	GitHub change preflight	38	workflow	workflow	workflow			It scans the configured GitHub branch from the first published approved-strategy commit, routes unreconciled relevant file changes, records their material or no-material-effect result, and completes every required evidence, dependency, approval, and cursor side effect before normal stage work.	kept:workflow
R0013	.agents/workflows/pre-development.md	GitHub change preflight	38	method	split	workflow + duplicate			`waiting-for-baseline` is non-blocking before that first commit exists.	split:workflow + duplicate
R0014	.agents/workflows/pre-development.md	GitHub change preflight	38	confirmation	split	workflow + duplicate			GitHub unavailability is blocking and must never be silently replaced by a stale local comparison.	split:workflow + duplicate
R0015	.agents/workflows/pre-development.md	Quality and interaction rules	52	gate-candidate	split	workflow + contract:evidence + duplicate			Follow `.agents/contracts/document-confirmation.md` for the document-owned user confirmation parameter, source-layer inheritance, content fingerprints, and header status.	split:workflow + contract:evidence + duplicate
R0016	.agents/workflows/pre-development.md	Quality and interaction rules	52	confirmation	split	workflow + contract:evidence + duplicate			Scope or partial decisions never imply whole-document approval.	split:workflow + contract:evidence + duplicate
R0017	.agents/workflows/pre-development.md	Quality and interaction rules	56	evidence	contract:evidence	contract:evidence			Never skip a material question, source check, professional review, or artifact correction to make the workflow shorter.	moved:contract:evidence
R0018	.agents/workflows/pre-development.md	Quality and interaction rules	61	method	split	workflow + contract:evidence + duplicate			The operator must be able to review and edit every primary document without reconstructing the agent session.	split:workflow + contract:evidence + duplicate
R0019	.agents/workflows/pre-development.md	Quality and interaction rules	61	readability	duplicate	workflow (one readability paragraph)			`brief`, each model, each product `research`, `strategy`, `brand`, `design`, and each product-local `product`, `website`, and `creative` documents strongly target about 1,400 words per reviewable page, so a normal review takes about five to seven minutes.	removed:restatement (workflow working rules own it)
R0020	.agents/workflows/pre-development.md	Quality and interaction rules	61	readability	duplicate	workflow (one readability paragraph)			This is a preference, never a hard word, line, source or segment cap.	removed:restatement (workflow working rules own it)
